City Population Area(km^2)
HANDA 117032 47.42
NASUSHIOBARA 116833 592.74
HIGASHIKURUME 116530 12.88
OMUTA 116033 81.45
BOUFU 115428 189.37
HATSUKAICHI 114853 489.48
KAKEGAWA 114818 265.69
URAZOE 114207 19.48
HIGASHIOUMI 114026 388.37
HIKONE 113871 196.87
KIRYU 113189 274.45
TONDABAYASHI 112993 39.72
TOUKAI 112757 43.43
SANDA 112362 210.32
HABIKINO 111902 26.45
KAZO 111839 133.30
FUJIMINO 111676 14.64
AKISHIMA 111510 17.34
KASUGA 110648 14.15
MARUGAME 110048 111.79
MISHIMA 109970 62.02
TAJIMI 109797 91.25
HAKUSAN 109617 754.93
KAMAGAYA 108948 21.08
FUJIMI 108656 19.77
SAIJOU 107695 509.98
KOMATSU 106855 371.05
TORIDE 105985 69.94
KAWACHINAGANO 105872 109.63
SAKATA 105008 602.97
CHIKUSEI 103788 205.30
IKEDA 103482 22.14
KANOYA 103185 448.15
TSUYAMA 102792 506.33
SAKADO 101873 41.02
ISEHARA 101787 55.56
CHIKUSHINO 101753 87.73
IIDA 100957 658.66
IZUMISANO 100649 56.51
OONOJOU 100020 26.89
SAKU 99169 423.51
KANI 99159 87.57
KOUNAN 98344 30.20
SANJOU 98294 431.97
SHIBATA 97940 533.10
KANUMA 97856 490.64
SHIMADA 97633 315.70
GINOWAN 96903 19.80
HANANOMAKI 96815 908.39
MUNAKATA 96678 119.91
ITOSHIMA 96540 215.70
CHITOSE 96168 594.50
SATSUMASENDAI 95496 682.92
MIHARA 95267 471.55
AZUMINO 95086 331.78
ASHIYA 94925 18.47
KAMISU 94787 146.98
INZEI 94672 123.79
OOMURA 93250 126.62
KITAKAMI 93127 437.55
IMIZU 91999 109.43
HIGASHIMATSUYAMA 91748 65.35
YOKOTE 90888 692.80
TAKASAGO 90600 34.38
OOFU 90502 33.66
KOUGA 90354 481.62
SAKAI 89985 209.67
YOTSUKAIDO 89939 34.52
IGA 89741 558.23
MOBARA 89266 99.92
INAGI 89208 17.97
NISSHIN 89163 34.91
KAMEOKA 88889 224.80
SEKI 88475 472.33
TAKAYAMA 88381 2177.61
KAIZUKA 88345 43.93
GOTENBA 88082 194.90
YASHIO 87665 18.02
AMA 87232 27.49
MURORAN 87170 80.88
SHIKOKUCHUOU 86669 421.24
YAMATOKORIYAMA 86466 42.69
FUKUROI 86139 108.33
KASHIWAZAKI 85832 442.03
KIMITSU 85267 318.81
SETTSU 84941 14.87
YONEZAWA 84930 548.51
HIGASHIYAMATO 84866 13.42
CHITA 84782 45.90
KITANAGOYA 84741 18.37
USHIKU 84704 58.92
AYASE 84427 22.14
NAKATSU 83658 491.53
IWAMIZAWA 83568 481.02
MAIZURU 82896 342.12
NIKKOU 82327 1449.83
DAISEN 81616 866.77
IZUMI 81457 11.04
TOYOOKA 81391 697.55
GYOUDA 81369 67.49
KOMAE 81294 6.39
OUMIHACHIMAN 81226 177.45
OWARIASAHI 81222 21.03
TOME 81182 536.12
AMAKUSA 81090 683.86
ECHIZEN 80864 230.70
AKIRUNO 80761 73.47
MORIYAMA 80688 55.74
GAMAGOURI 80642 56.92
HANNOU 80517 193.05
NAGAOKAKYOU 80213 19.17
MAOKA 79655 167.34
TSUBAME 79332 110.96
YURIHONNJOU 78905 1209.59
FUKUCHIYAMA 78461 552.54
NAKATSUGAWA 78319 676.45
NABARI 78232 129.77
KADHIBA 78103 24.26
RYUGASAKI 77894 78.55
HONJOU 77835 89.69
SHIBUKAWA 77635 240.27
NATORI 77322 98.17
SUKAGAWA 77170 279.43
TATSUNO 76881 210.87
MIKI 76786 176.51
KATORI 76474 262.35
KATANO 76383 25.55
JOUYOU 76263 32.71
KASAMA 76160 240.40
TATEBAYASHI 76102 60.97
UWAJIMA 75935 468.19
AIRA 75629 231.25
IZUMIONO 75551 14.31
ISHIOKA 75346 215.53
OOTAWARA 75103 354.36
KIYOSE 75043 10.23
KAI 74803 71.95
KUNITACHI 74315 8.15
INUYAMA 74225 74.90
OKEGAWA 74186 25.35
SHIKI 73940 9.05
KIZUGAWA 73861 85.13
TANABE 73724 1026.91
TOSU 73382 71.72
OODATE 73230 913.22
WARABI 73052 5.11
ANAN 72366 279.25
YAWATA 72265 24.35
DAZAIFU 72227 29.60
HEKINAN 71705 36.68
KYOUTANABE 71550 42.92
MUSASHIMURAYAMA 71380 15.32
SAEKI 71113 903.11
CHIRYU 70761 16.31
YKUHASHI 70586 70.05
MINAMIARUPUSU 70512 264.14
KASHIWARA 70354 25.33
YOSHIKAWA 70167 31.66
TSURUGASHIMA 70077 17.65
YACHIMATA 70066 74.94
ENIWA 69941 294.65
TOYOAKE 69306 23.22
FUEFUKI 69300 201.92
KURIHARA 68764 804.97
SABAE 68434 84.59
INA 67921 667.93
KIYOSU 67802 17.35
KASHIMA 67754 106.02
ITO 67605 124.10
RITTO 67309 52.69
HASHIMA 67230 53.66
SOUJA 67059 211.90
SHIOJIRI 67052 289.98
TENRI 67012 86.42
YANAGAWA 66972 77.15
KITAMOTO 66881 19.82
KAGA 66463 305.87
TAMAI 66377 152.60
ASAHI 66186 130.45
TSURUGA 65776 251.39
HITA 65722 666.03
MORIYA 65560 35.71
FUJIOKA 65233 180.29
FUJIIDERA 65075 8.89
MITOYO 64904 222.71
YAMATOTAKADA 64156 16.48
KESENNUMA 64114 332.44
TANBA 63944 493.21
YAME 63680 482.44
CHOUSHI 63215 84.20
TSUSHIMA 63056 25.09
HASHIMOTO 62941 130.55
TOWADA 62880 725.65
CHICHIBU 62818 577.83
AISAI 62587 66.70
MIYOSHI 62326 32.19
SANYOONODA 62288 133.09
HASUDA 62242 27.28
TENDO 62209 113.01
TAGAJO 62127 19.69
SENNAN 62076 48.98
NAGO 62017 210.90
SHIROI 61867 35.48
KINOKAWA 61850 228.21
TAHARA 61783 191.12
DATE 34601 265.12
TOMISHIRO 61613 19.60
MURAKAMI 61545 1174.26
HYUGA 61540 336.93
SHIRAKAWA 61431 305.32
SODEGAURA 61151 94.93
JOUSOU 60893 123.64
TOUGANE 60343 89.12
FUTTSU 60283 52.76
TAMANO 60101 103.58
CHIKUMA 60019 119.79
KOUSHI 59310 53.19
SHIMOTSUKE 59291 74.59
KOSEI 59183 86.56
ITOMAN 59121 46.62
KANNONJI 58885 117.84
KITAHIROSHIMA 58859 119.05
NARUTO 58522 135.66
NAGAKUTE 58518 21.55
FUSSA 58468 10.16
KOGA 58100 42.07
OGOURI 58064 45.51
OSAKASAYAMA 57993 11.92
MINAMIUONUMA 57910 584.55
ANNAKA 57801 276.31
MUTSU 57710 864.12
ZUSHI 57556 17.28
NIHONMATSU 57422 344.42
HAMADA 57399 690.66
TOKI 57398 116.02
ISHIKARI 57276 722.42
TOKONAME 57023 55.90
MINAMISOUMA 56979 398.58
SAKURAI 56763 98.91
NAOKATA 56712 61.76
TAKAISHI 56583 11.30
HIDAKA 56229 47.48
SADO 56191 855.69
MINOKAMO 55915 74.81
KUDAMATSU 55874 89.35
MIYAKO 55870 1259.15
SHIJONAWATE 55832 18.69
CHINO 55792 266.59
USA 55723 439.05
HAMURA 55608 9.90
TAKIZAWA 55459 182.46
NONOSHI 55290 13.56
IMARI 54851 255.25
MIZUHO 54704 28.19
HANYUU 54640 58.64
NANAO 54580 318.32
KONAN 54522 70.40
MUKOU 54430 7.72
GOSHOGAWARA 54412 404.18
KYOUTANGO 54228 501.43
NAKA 54110 97.82
HANNAN 53886 36.17
TOKAMACHI 53874 590.39
NOSHIRO 53841 426.95
SHIOGAMA 53793 17.37
BANDOU 53755 123.03
IZUMI 53484 329.98
IWADE 53459 38.51
NITINAN 53258 536.11
MIYOSHI 53075 778.14
ARAO 52967 57.37
SAKADE 52551 92.49
SUSONO 52374 138.12
SATTE 52232 33.93
TOMIYA 51831 49.18
SHIRAOKA 51826 24.92
ASAKURA 51793 246.71
YAMAGA 51753 299.69
YUUKI 51603 65.76
YAMATAKE 51525 146.77
HITACHIOOTA 51454 371.99
KAINAN 51112 101.06
HIKARI 51040 92.13
MIYAKOJIMA 50997 204.20
MIDORI 50727 208.42
GOSEN 50672 351.91
NANTO 50660 668.64
SUSAKA 50535 149.67
OMITAMA 50528 144.74
ENA 50434 504.24
KAMEYAMA 50077 191.04
NOSU 50038 80.14
TSUKUBAMIRAI 49881 79.16
TOMISATO 49778 53.88
OKAYA 49743 85.10
KASAOKA 49724 136.39
